,acc,site,main_class,sub_class_1,sub_class_all,binding_sites,area_a2,alpha_seeds,beta_seeds,hydrophobicity,pdbs
1247,Q6Q8B3,1,Receptors,IG,IG;OtherMisc,[68],[1950.8177246580785],[73],[550],[-20.599],[]
1248,Q16653,3,Unclassified,Unclassified,Unclassified,"[21, 235, 183]","[1413.9829537890723, 2775.8899369099727, 1836.5661447168607]","[11, 8, 1]","[89, 210, 2]","[27.7, -2.1, -7.3999]",[]
1249,Q6ZSM3,1,Transporters,SLC,SLC;MFS;SLC16,[205],[933.9326640591738],[27],[186],[27.0],[]
1250,P53985,0,Transporters,SLC,SLC;MFS;SLC16,[],[],[],[],[],"['6LYY', '6LZ0', '7CKO', '7CKR', '7DA5', '7YR5']"
1251,O60669,0,Transporters,SLC,SLC;MFS;SLC16,[],[],[],[],[],['7BP3']
1252,O95907,0,Transporters,SLC,SLC;MFS;SLC16,[],[],[],[],[],[]
1253,O15374,0,Transporters,SLC,SLC;MFS;SLC16,[],[],[],[],[],[]
1254,O15375,0,Transporters,SLC,SLC;MFS;SLC16,[],[],[],[],[],[]
1255,O15403,0,Transporters,SLC,SLC;MFS;SLC16,[],[],[],[],[],[]
1256,Q2M385,4,Unclassified,Unclassified,Unclassified,"[442, 338, 595, 277]","[633.4195463451208, 2969.099436509524, 2023.3710616634835, 1029.553629937242]","[1, 40, 130, 39]","[95, 74, 577, 53]","[13.8999, -1.7, 0.69999, 13.4]","['6U23', '6U2J', '6U2K', '6U2L', '6U2W']"
1257,P20645,1,Unclassified,Unclassified,Unclassified,[140],[1453.7153742107234],[3399],[3067],[0.6],['1JUQ']
1258,P11717,7,Unclassified,Unclassified,Unclassified,"[1773, 787, 1348, 1128, 868, 191, 362]","[7429.973866526122, 1646.4770998944027, 752.5435037814899, 1352.517111745171, 807.0637111043437, 3561.050929454622, 946.3522330908929]","[43, 34, 6, 31, 2, 95, 145]","[38, 175, 33, 388, 99, 296, 1650]","[-55.7, -26.1, -8.3, -5.8, -0.2, -0.3, 5.3]","['1E6F', '1GP0', '1GP3', '1GQB', '1JPL', '1JWG', '1LF8', '2CNJ', '2L29', '2L2A', '2M68', '2M6T', '2V5N', '2V5O', '2V5P', '5IEI', '6N5X', '6N5Y', '6P8I', '6V02', '6Z30', '6Z31', '6Z32']"
1259,O95297,2,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;IG_MPZ,"[73, 24]","[1189.1242353102725, 945.8086599916329]","[0, 0]","[0, 20]","[12.2999, 15.6]","['6IGO', '6IGT', '6IGW']"
1260,O60487,2,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;IG_MPZ,"[14, 63]","[1084.4227091850228, 1168.2475764252788]","[0, 58]","[46, 675]","[22.1, -8.7]",[]
1261,Q6UWV2,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;IG_MPZ,[],[],[],[],[],[]
1262,P22897,4,Receptors,SCAR,SCAR;MacrophageMannoseR,"[403, 750, 898, 1269]","[1494.0803795234858, 2651.109949144307, 984.9486380949681, 1984.9617947403165]","[0, 0, 597, 750]","[0, 0, 617, 1860]","[-12.4, -48.499, -4.7, -19.4]","['1EGG', '1EGI', '5XTS', '5XTW', '6INN', '6INO', '6INU', '6INV', '6IOE', '7JUB', '7JUC', '7JUD', '7JUE', '7JUF', '7JUG', '7JUH', '7L61', '7L62', '7L63', '7L64', '7L65', '7L66', '7L67', '7L68']"
1263,Q9UBG0,5,Receptors,SCAR,SCAR;MacrophageMannoseR,"[566, 173, 468, 1341, 1022]","[941.494593931648, 3555.860126333719, 2921.352464162716, 927.623686664159, 1737.906948462015]","[79, 0, 1, 0, 120]","[110, 0, 2, 0, 182]","[0.4, -28.5, -62.9, -5.1, 2.99999]","['5AO5', '5AO6', '5E4K', '5E4L', '5EW6']"
1264,Q8TDS7,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['7Y12', '7Y13', '7Y14', '7Y15']"
1265,Q86SM8,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
1266,Q96AM1,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
1267,Q86SM5,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
1268,Q96LB2,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['8DWC', '8DWG', '8DWH']"
1269,Q96LB1,1,Receptors,GPCR,GPCR;Rhodopsin,[296],[1139.792504002653],[2],[25],[15.0999],"['7S8L', '7S8M', '7S8N', '7S8O', '7VDH', '7VDL', '7VDM', '7VUY', '7VUZ', '7VV0', '7VV3', '7VV4', '7VV5', '7VV6']"
1270,Q96LB0,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
1271,Q96LA9,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],['7S8P']
1272,P33527,2,Transporters,Active_transporters,Active_transporters;ABCC,"[125, 157]","[2909.773174203095, 952.3212591327134]","[14, 146]","[91, 192]","[35.9999, 10.8999]","['2CBZ', '4C3Z']"
1273,Q92887,1,Transporters,Active_transporters,Active_transporters;ABCC,[315],[914.7154254418817],[3],[28],[22.0],[]
1274,O15438,2,Transporters,Active_transporters,Active_transporters;ABCC,"[420, 530]","[924.0445981447363, 965.9749698710654]","[52, 74]","[111, 626]","[38.3, 4.5]",[]
1275,O15439,1,Transporters,Active_transporters,Active_transporters;ABCC,[158],[996.1990304533236],[4],[4],[19.0],[]
1276,O15440,2,Transporters,Active_transporters,Active_transporters;ABCC,"[172, 419]","[1483.1650903815132, 928.718589881577]","[104, 38]","[421, 189]","[35.4, 14.9]",[]
1277,Q5T3U5,0,Transporters,Active_transporters,Active_transporters;ABCC,[],[],[],[],[],[]
1278,Q96J65,0,Transporters,Active_transporters,Active_transporters;ABCC,[],[],[],[],[],[]
1279,Q01726,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['7F4D', '7F4F', '7F4H', '7F4I']"
1280,Q96KJ4,5,Unmatched,Unmatched,Unmatched,"[460, 277, 83, 573, 212]","[2466.5638761007103, 759.980157798765, 1468.2514458486944, 889.3053707875684, 794.2465948541146]","[47, 177, 1, 169, 26]","[168, 431, 88, 583, 1209]","[21.1, 2.22044, -19.9, -20.2, -4.1999]",[]
1281,Q13421,4,Unmatched,Unmatched,Unmatched,"[538, 170, 250, 377]","[2095.0947854977726, 1084.2272323087993, 2803.2501061151806, 2691.3944753860055]","[137, 5, 3822, 8]","[1237, 59, 1039, 25]","[-33.799, -5.8, -3.9999, -16.9]","['4F3F', '7U8C', '7U9J', '7UED', '8CX3']"
1282,P21757,2,Receptors,SCAR,SCAR;Class_A,"[208, 122]","[10348.498897300607, 1490.765805348476]","[6, 0]","[225, 49]","[-34.6, 3.89999]",['7DPX']
1283,O43193,1,Receptors,GPCR,GPCR;Rhodopsin,[137],[1126.3296159291858],[1554],[888],[10.3],[]
1284,P48039,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['6ME2', '6ME3', '6ME4', '6ME5', '7DB6', '7VGY', '7VGZ']"
1285,P49286,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['6ME6', '6ME7', '6ME8', '6ME9', '7VH0']"
1286,Q13585,2,Receptors,GPCR,GPCR;Rhodopsin,"[322, 84]","[1060.9123484587692, 1560.1843370918264]","[19, 11]","[70, 90]","[14.7999, 37.5999]",[]
1287,Q9UKN1,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],[]
1288,Q9H3R2,1,Unclassified,Unclassified,Unclassified,[412],[7682.2629552311555],[2],[100],[103.2],[]
1289,Q8N387,1,Unclassified,Unclassified,Unclassified,[14],[2607.9229403565423],[0],[0],[55.1999],[]
1290,Q685J3,3,Unclassified,Unclassified,Unclassified,"[885, 818, 815]","[2497.0887150907292, 3057.395643367917, 4674.436601874599]","[28, 156, 12]","[27, 531, 105]","[18.8, 31.7999, 69.1999]",[]
1291,P43121,2,Unclassified,Unclassified,Unclassified,"[247, 450]","[2240.7489111172904, 1452.5064428155085]","[8, 398]","[28, 3754]","[-10.2, 13.1]",['6LYN']
1292,P15941,1,Unclassified,Unclassified,Unclassified,[1089],[1947.8846018873664],[236],[353],[2.69999],"['1SM3', '2ACM', '2FO4', '5T6P', '5T78', '6FZQ', '6FZR', '6KX1', '6TGG', '7Q4I', '7V4W', '7V64', '7V7K', '7V8Q', '7VAC', '7VAZ']"
1293,Q5SSG8,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],[]
1294,E2RYF6,8,Unmatched,Unmatched,Unmatched,"[1359, 1037, 748, 697, 570, 559, 442, 390]","[1757.5754516536833, 1322.9260239049693, 1394.3540113937822, 912.4697684709821, 1591.8395676607201, 1238.677817358368, 635.649883203697, 2009.6161218285158]","[1, 0, 129, 294, 1012, 1093, 90, 35]","[1, 0, 167, 195, 2818, 2167, 181, 778]","[3.09999, 9.99999, -1.9999, 10.6, -4.5, 18.0, 4.2, 13.8]",[]
1295,Q04900,1,Unclassified,Unclassified,Unclassified,[12],[2249.684996887501],[0],[87],[26.4],[]
1296,Q02505,1,Unclassified,Unclassified,Unclassified,[7],[1876.3020557970153],[0],[2],[21.7],[]
1297,Q9H195,4,Unclassified,Unclassified,Unclassified,"[1119, 1080, 120, 7]","[5451.837666639411, 1266.9145296990223, 1038.8738820683643, 1115.7494300035964]","[43, 12, 315, 1]","[77, 39, 1076, 1]","[44.0999, -3.5, 29.3, 20.3]",[]
1298,Q99102,5,Unclassified,Unclassified,Unclassified,"[1100, 1398, 1838, 1903, 1914]","[2009.9333839014344, 1315.1408858137122, 1055.6073232345962, 780.0774302100074, 707.1209221473923]","[38, 30, 0, 3, 10]","[56, 16, 10, 102, 83]","[-18.1, -10.1, -6.8, -2.1, -6.8999]",[]
1299,Q9ULC0,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],[]
1300,O15146,4,Receptors,Kinase,Kinase;Other,"[400, 807, 743, 604]","[966.037413873192, 4720.388987899414, 1444.2642223857015, 781.3123476185295]","[41, 1, 0, 5]","[111, 54, 0, 34]","[12.0, -40.0, -3.4, -4.8]",[]
1301,Q9BRK3,3,Unclassified,Unclassified,Unclassified,"[72, 184, 9]","[1112.7870244865446, 2198.7584224945035, 1331.476585835962]","[2614, 76, 1]","[3118, 623, 80]","[-19.9, 10.9999, 9.3]",['6JO8']
1302,Q96S97,0,Miscellaneous,Other,Other;MAL,[],[],[],[],[],[]
1303,Q96QE2,1,Transporters,SLC,SLC;MFS;SLC2,[323],[1198.3358891768264],[563],[912],[17.2],[]
1304,Q9NZM1,9,Miscellaneous,Other,Other;Ferlin,"[1877, 1646, 1359, 542, 1232, 244, 1284, 1061, 1017]","[2052.3580716570223, 1849.1895294201179, 1206.5814063396647, 2139.840955083986, 2429.0569444008247, 1707.7269089620017, 944.3548007247218, 4501.571241812711, 1144.5917715946923]","[1271, 0, 67, 1, 550, 0, 2, 0, 74]","[1514, 0, 1487, 8, 803, 0, 118, 0, 278]","[-21.7, 6.19999, 22.2, 26.8, -7.0, -25.799, -5.8999, -28.9, 3.3]","['2DMH', '2K2O', '6EEL']"
1305,P25189,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;IG_MPZ,[],[],[],[],[],['3OAI']
1306,P60201,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],['2XPG']
1307,P32418,2,Transporters,SLC,SLC;Other;SLC8,"[127, 749]","[1185.5655089654565, 752.1391691714443]","[27, 9]","[90, 123]","[3.9, 12.5]",[]
1308,Q9UPR5,2,Transporters,SLC,SLC;Other;SLC8,"[122, 695]","[1192.714377581625, 1346.9231375670563]","[322, 9]","[77, 315]","[4.5, 13.6]",[]
1309,P57103,1,Transporters,SLC,SLC;Other;SLC8,[126],[904.6033756067712],[20],[70],[3.59999],[]
1310,Q9UK23,2,Enzymes,Hydrolases,3.1.4,"[301, 141]","[2156.327916974742, 1240.7528199135168]","[0, 0]","[17, 0]","[-2.1, -2.9]",[]
1311,Q8IZF0,3,Unclassified,Unclassified,Unclassified,"[1576, 171, 1063]","[1000.4659726235049, 1215.2394029823913, 741.4154783962464]","[15, 10, 1]","[116, 14, 102]","[5.89999, 35.5, 18.0]","['6XIW', '7CM3', '7SX3', '7SX4', '7WJI']"
1312,Q9UQQ1,2,Unmatched,Unmatched,Unmatched,"[435, 272]","[4046.6661045417695, 709.6386565561305]","[455, 1748]","[1046, 3571]","[-40.6, 7.59999]",['4TWE']
1313,P52961,2,Enzymes,Transferases,2.4.2,"[227, 311]","[2693.5082630356433, 1678.2723446544003]","[0, 1]","[1, 385]","[-19.2, 35.6]",[]
1314,Q13508,3,Enzymes,Transferases,2.4.2,"[136, 13, 86]","[1028.3784415742325, 1809.1856133370459, 734.0790838482244]","[90, 1, 0]","[222, 57, 57]","[-7.9, 33.6, 12.5999]",[]
1315,Q93070,2,Unmatched,Unmatched,Unmatched,"[231, 55]","[1715.281081815578, 922.9254542432628]","[187, 387]","[1354, 697]","[-7.5, 4.89999]",[]
1316,P13591,3,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;IG_AdhesionProteins,"[150, 38, 437]","[2137.7155319060016, 865.3363763189855, 4690.492855291061]","[3018, 45, 17]","[4058, 5253, 394]","[16.2999, 5.2, -14.499]","['2E3V', '2HAZ', '2VKW', '2VKX', '3MTR', '5AEA', '5LKN']"
1317,O15394,3,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;IG_AdhesionProteins,"[491, 507, 349]","[805.8109525523566, 796.8147498856881, 790.0578046493283]","[394, 60, 0]","[2132, 1547, 29]","[0.99999, 1.89999, -6.5]","['2DOC', '2JLL', '2KBG', '2V5T', '2VAJ', '2WIM', '2XY1', '2XY2', '2XYC']"
1318,O00533,8,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;IG_AdhesionProteins,"[868, 151, 569, 214, 938, 441, 68, 419]","[1255.8280043648817, 1415.1387496048376, 1153.7704581309304, 2290.8177531456686, 1235.6808931072214, 741.7026820209358, 1396.2153080782975, 1670.4685897177885]","[95, 35, 0, 11, 111, 63, 47, 1]","[617, 608, 0, 119, 3392, 88, 73, 0]","[1.59999, -6.9, 0.99999, 7.8, -5.6, -10.4, 1.59999, 12.5]",[]
1319,Q9UI40,1,Transporters,SLC,SLC;Other;SLC24,[477],[1919.1654029712715],[129],[33],[28.1],[]
1320,Q9HC58,2,Transporters,SLC,SLC;Other;SLC24,"[453, 32]","[1749.904923516641, 2317.600994070356]","[1, 2]","[14, 5]","[4.69999, 42.5]",[]
1321,Q8NFF2,1,Transporters,SLC,SLC;Other;SLC24,[26],[5267.486294770147],[0],[3],[138.699],[]
1322,Q71RS6,0,Transporters,SLC,SLC;Other;SLC24,[],[],[],[],[],[]
1323,Q5T1S8,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],[]
1324,O76036,3,Receptors,IG,IG;OtherNCR,"[10, 38, 85]","[960.7376246367752, 2126.5525999357187, 1204.0691018441553]","[6, 213, 105]","[171, 13644, 803]","[19.9, -17.7, 3.19999]","['1OLL', '1P6F', '6IAP']"
1325,O95944,2,Receptors,IG,IG;OtherNCR,"[82, 219]","[905.4380308401693, 6384.103735188401]","[27, 1]","[297, 46]","[0.1, 77.1999]",['1HKF']
1326,O14931,1,Receptors,IG,IG;OtherNCR,[91],[2967.909121959665],[346],[211],[11.2999],"['3NOI', '3PV6', '6YJP']"
1327,Q7Z3B1,4,Unclassified,Unclassified,Unclassified,"[242, 159, 58, 70]","[808.611042448973, 1701.2245878709605, 1649.7507557947263, 1396.8255915400782]","[70, 71, 14, 3157]","[1729, 821, 267, 6646]","[4.3, 0.09999, 2.3, -2.7]","['6DLD', '6U6T']"
1328,Q92859,5,Receptors,IG,IG;NetrinR,"[630, 865, 1451, 422, 381]","[1483.8921169777054, 3131.2814422944843, 846.1067264714568, 3049.08283406614, 1710.1928652695967]","[61, 1, 2, 9, 1]","[745, 88, 30, 195, 74]","[8.3, 21.5, 14.3, 6.8, -1.7999]","['1X5F', '1X5G', '1X5H', '1X5I', '1X5J', '1X5K', '3P4L']"
1329,P08473,0,Enzymes,Hydrolases,3.4.24,[],[],[],[],[],"['1DMT', '1R1H', '1R1I', '1R1J', '1Y8J', '2QPJ', '2YB9', '4CTH', '5JMY', '6GID', '6SH1', '6SH2', '6SUK', '6SVY', '6THP', '6XVP']"
1330,Q8TDF5,1,Unclassified,Unclassified,Unclassified,[248],[2768.2589695693077],[1],[4],[-21.2],[]
1331,Q8NC67,3,Unclassified,Unclassified,Unclassified,"[10, 77, 253]","[1671.9889654217482, 564.0655917840946, 2303.5712618409366]","[12, 1, 0]","[80, 18, 9]","[30.6, 5.0, -9.7]",[]
1332,Q8NET5,1,Unclassified,Unclassified,Unclassified,[148],[2395.510358699186],[15],[190],[4.2],[]
1333,O94856,5,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;IG_AdhesionProteins,"[601, 781, 457, 173, 158]","[1437.7000390689507, 1412.64331662543, 2778.9690855614353, 2263.7312127820796, 1727.7640644767864]","[203, 0, 5, 14, 65]","[207, 1, 19, 27, 2253]","[-14.699, -15.7, 6.99999, -12.299, 2.39999]","['3P3Y', '3P40']"
1334,Q92542,3,Unclassified,Unclassified,Unclassified,"[23, 289, 233]","[1552.515166433091, 693.5502115112467, 1161.9572158756187]","[1, 1, 0]","[5, 0, 17]","[33.0, -10.1, 1.79999]","['2N7Q', '2N7R', '4UIS', '5A63', '5FN2', '5FN3', '5FN4', '5FN5', '6IDF', '6IYC', '6LQG', '6LR4', '7C9I', '7D8X', '7Y5T', '7Y5X', '7Y5Z']"
1335,Q6NVV3,1,Transporters,SLC,SLC;DMT;NIPA,[137],[1113.4357051918691],[0],[0],[16.8],[]
1336,Q0D2K0,0,Transporters,SLC,SLC;DMT;NIPA,[],[],[],[],[],[]
1337,P25103,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['2KS9', '2KSA', '2KSB', '6E59', '6HLL', '6HLO', '6HLP', '7P00', '7P02', '7RMG', '7RMH', '7RMI']"
1338,P21452,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
1339,P29371,1,Receptors,GPCR,GPCR;Rhodopsin,[367],[1628.5996923662246],[6214],[2453],[34.8],[]
1340,Q4KMZ8,0,Transporters,AuxillaryTransportUnit,AuxillaryTransportUnit;NKAIN,[],[],[],[],[],[]
1341,Q5VXU1,0,Transporters,AuxillaryTransportUnit,AuxillaryTransportUnit;NKAIN,[],[],[],[],[],[]
1342,Q8N8D7,0,Transporters,AuxillaryTransportUnit,AuxillaryTransportUnit;NKAIN,[],[],[],[],[],[]
1343,P26715,2,Receptors,SCAR,SCAR;Class_E,"[124, 176]","[715.4312104180271, 2529.2950818523077]","[41, 355]","[74, 440]","[14.3999, -18.8]","['2RMX', '2YU7', '3BDW', '3CDG', '3CII']"
1344,P26717,1,Receptors,SCAR,SCAR;Class_E,[176],[1561.9864865072466],[238],[843],[3.1],['2L35']
1345,P26718,1,Receptors,SCAR,SCAR;Class_E,[111],[1686.9043552838193],[1578],[2531],[5.8],"['1HYR', '1KCG', '1MPU', '4PDC', '4S0U']"
1346,Q07444,1,Receptors,SCAR,SCAR;Class_E,[131],[1106.9444378527571],[423],[435],[19.1],[]
1347,Q8N2Q7,2,Miscellaneous,Ligand,Ligand;Neuroligin,"[475, 727]","[1760.8273879010944, 3061.523928825302]","[24, 4]","[66, 25]","[-21.599, 29.1]","['5OJ6', '5OJK']"
1348,Q8NFZ4,2,Miscellaneous,Ligand,Ligand;Neuroligin,"[204, 434]","[634.096540169422, 1425.523652579676]","[0, 149]","[0, 1176]","[11.8, -5.3999]","['5XEQ', '8GS4']"
1349,Q9NZ94,2,Miscellaneous,Ligand,Ligand;Neuroligin,"[457, 220]","[1760.2128380789202, 992.382965006574]","[435, 29]","[1352, 45]","[-13.299, 14.7]",[]
1350,Q8N0W4,2,Miscellaneous,Ligand,Ligand;Neuroligin,"[33, 589]","[1732.719054223198, 2008.1289073803446]","[0, 131]","[85, 1338]","[28.1, 2.2]","['2WQZ', '2XB6', '3BE8']"
1351,Q8NFZ3,2,Miscellaneous,Ligand,Ligand;Neuroligin,"[32, 423]","[1644.3530341947248, 1546.2641727543364]","[0, 2]","[223, 17]","[29.6, -5.0]",[]
1352,Q8NA29,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],['7OIX']
1353,P28336,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
1354,Q8TCU5,7,Transporters,Channels,Channels;Ligand_gated_ion_channels;Glutamate,"[215, 129, 480, 401, 862, 1090, 724]","[2637.479703388121, 1949.1573347630151, 897.2167543613864, 1029.4865317237768, 877.9318357542111, 2643.6114329013217, 6528.528373312628]","[0, 8, 1, 28, 10, 111, 3]","[0, 340, 4766, 960, 2983, 676, 209]","[0.69999, -8.0, 4.2, 18.0, 6.6, -2.1, 135.399]",[]
1355,O60391,6,Transporters,Channels,Channels;Ligand_gated_ion_channels;Glutamate,"[239, 119, 997, 426, 762, 624]","[1473.2209800055393, 1825.2240256100392, 2909.896316878097, 895.7723974426249, 925.1629663443196, 6510.177981557156]","[0, 6, 0, 17, 0, 5]","[426, 1116, 16, 635, 95, 2146]","[-4.6999, 0.5, -3.5, -8.2, 14.4, 114.699]",[]
1356,Q12879,4,Transporters,Channels,Channels;Ligand_gated_ion_channels;Glutamate,"[83, 481, 779, 429]","[1182.226694106391, 1951.3393841789525, 880.0027658744388, 1233.2550793724215]","[0, 8, 7, 14]","[37, 1398, 467, 1677]","[9.8, -17.7, 17.0999, 4.6]","['3NFL', '5H8F', '5H8H', '5H8N', '5H8Q', '5I2K', '5I2N', '5KCJ', '5KDT', '5TP9', '5TPA', '6IRA', '6IRF', '6IRG', '6IRH', '7EOQ', '7EOR', '7EOS', '7EOT', '7EOU', '7EU7', '8E99']"
1357,Q13224,4,Transporters,Channels,Channels;Ligand_gated_ion_channels;Glutamate,"[115, 331, 477, 527]","[1820.8050458694618, 838.4414343221704, 1588.507346267718, 1052.5566816275825]","[22, 0, 0, 2]","[645, 165, 15, 491]","[-6.8, -3.1, -20.7, 10.9999]","['5EWJ', '5EWL', '5EWM', '7EU8', '7KL0', '7KL1', '7KL2', '7UIS', '7UJP', '7UJQ', '7UJR', '7UJS', '7UJT']"
1358,Q14957,4,Transporters,Channels,Channels;Ligand_gated_ion_channels;Glutamate,"[111, 524, 547, 897]","[1064.8059840944961, 1125.8409237386277, 2058.6887687049507, 1217.3194475998234]","[87, 8, 44, 31]","[312, 701, 1108, 1058]","[5.3, 7.09999, 42.9, 10.4]","['8E92', '8E93', '8E94', '8E97', '8E98', '8E99']"
1359,O15399,2,Transporters,Channels,Channels;Ligand_gated_ion_channels;Glutamate,"[87, 133]","[942.6662916361533, 1211.5330993530451]","[58, 205]","[1455, 988]","[7.09999, 2.49999]","['7YFM', '8E96']"
1360,Q05586,3,Transporters,Channels,Channels;Ligand_gated_ion_channels;Glutamate,"[109, 757, 608]","[2605.551813604972, 1608.4991232219506, 9180.409951911784]","[26, 9, 14]","[13547, 2616, 596]","[0.19999, -10.3, 136.3]","['2HQW', '2NR1', '3BYA', '5H8F', '5H8H', '5H8N', '5H8Q', '5I2K', '5I2N', '5KCJ', '5KDT', '5TP9', '5TPA', '6IRA', '6IRF', '6IRG', '6IRH', '7EOQ', '7EOR', '7EOS', '7EOT', '7EOU', '7EU7', '7EU8', '7YFM', '8E92', '8E93', '8E94', '8E96', '8E97', '8E98', '8E99']"
1361,Q9HB89,1,Receptors,GPCR,GPCR;Rhodopsin,[160],[1542.4971704521156],[655],[702],[18.1],"['7W53', '7W56']"
1362,Q9GZQ4,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['7W55', '7W57', '7XK8']"
1363,P46531,6,Receptors,Other_receptors,Other_receptors;Notch,"[554, 2034, 454, 1270, 106, 1424]","[1225.5781516947886, 23990.751936963843, 1383.4511334820456, 1647.888877333793, 714.3072183797428, 1212.4738318198702]","[76, 2, 0, 22, 0, 937]","[376, 2, 0, 172, 0, 982]","[10.3, -98.1, 5.3, 19.6, 5.8, -2.2]","['1PB5', '1TOZ', '1YYH', '2F8X', '2F8Y', '2HE0', '2VJ3', '3ETO', '3I08', '3L95', '3NBN', '3V79', '4CUD', '4CUE', '4CUF', '4D0E', '4D0F', '5FM9', '5FMA', '5KZO', '5L0R', '5UB5', '6IDF', '6PY8']"
1364,Q04721,14,Receptors,Other_receptors,Other_receptors;Notch,"[1283, 1257, 371, 1550, 750, 1882, 614, 1023, 780, 278, 485, 35, 1142, 1985]","[3923.5726866099462, 1394.268878111379, 2539.6782394978945, 4029.3689220271413, 1360.8518346253334, 3003.7021403340923, 5367.5051025122975, 3700.173063385814, 1569.0420769711695, 1510.5576451406196, 1848.9498375361777, 946.9960656594063, 2004.5075431079283, 3449.1409995931617]","[255, 17, 62, 126, 0, 0, 0, 7, 9, 2, 0, 11, 36, 6]","[1268, 270, 231, 231, 2, 116, 25, 208, 102, 7, 0, 39, 131, 43]","[47.4, -1.2, 11.7, -8.2999, -2.0, -5.9999, -2.6999, 40.9, -26.2, -14.899, 2.09999, -16.0, 10.2, 20.0]","['2OO4', '5MWB']"
1365,Q9UM47,17,Receptors,Other_receptors,Other_receptors;Notch,"[568, 454, 1030, 1848, 181, 606, 225, 975, 72, 878, 377, 929, 300, 1146, 678, 1471, 1514]","[2167.5916901906953, 3173.4689591972733, 1559.3390159574437, 5300.541279399143, 1178.555297062085, 1737.2328635198003, 857.6142640062728, 1247.4614777072384, 1831.9561483859266, 2362.860096531183, 1131.923396181828, 2340.0042342744277, 846.7895380599315, 1179.15956883422, 1651.356264781089, 568.3616227751423, 6710.351732723117]","[26, 25, 27, 0, 1, 0, 0, 0, 30, 108, 1, 271, 20, 6, 16, 13, 0]","[367, 316, 86, 4, 15, 1, 10, 11, 372, 58, 1, 535, 312, 36, 57, 268, 0]","[-10.6, 6.4, -2.9, -52.099, -1.2, 7.3, 0.69999, 17.0, 3.09999, 0.89999, 12.0, 35.4, 11.2, 29.2, 15.2, -7.3999, -27.299]","['4ZLP', '5CZV', '5CZX', '6WQU', '6XSW']"
1366,Q99466,12,Receptors,Other_receptors,Other_receptors;Notch,"[605, 542, 491, 1673, 427, 845, 1687, 195, 860, 158, 1139, 1315]","[619.7493519416114, 1048.3506320557487, 538.7026610195853, 3490.742667643699, 8424.547995445842, 1671.7835983464304, 1282.5266937835838, 1092.9800585075507, 1078.0173508302034, 1376.8128706348216, 1722.171253851507, 6144.454708777259]","[124, 35, 0, 40, 1, 0, 57, 36, 1, 0, 1, 5]","[278, 1825, 0, 699, 14, 0, 106, 275, 21, 2, 112, 580]","[10.1, 2.4, 8.99999, -25.899, 1.69999, -2.6, -13.299, -5.9, 5.39999, 7.2, 0.0, -6.5999]","['7OR3', '7OR5', '7OR7']"
1367,Q9NPH5,3,Enzymes,Oxidoreductases,1.6.3,"[188, 285, 98]","[581.5309076833292, 513.1970011073576, 3270.714050907058]","[644, 1, 21]","[2800, 73, 61]","[3.8, 5.59999, 19.2]",[]
1368,Q9H841,0,Transporters,SLC,SLC;DMT;NIPA,[],[],[],[],[],[]
1369,Q6P499,0,Transporters,SLC,SLC;DMT;NIPA,[],[],[],[],[],[]
1370,P48145,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
1371,P48146,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
